DE063F;Kempten (Allgäu);;;
DE064C;Landshut;;;
DE064F;Landshut;;;
DE065C;Sindelfingen;;;
DE066C;Rosenheim;;;
DE066F;Rosenheim;;;
DE067C;Frankenthal (Pfalz);;;
DE068C;Stralsund;;;
DE068F;Stralsund;;;
DE069C;Friedrichshafen;;;
DE069F;Friedrichshafen;;;
DE070C;Offenburg;;;
DE070F;Offenburg;;;
DE071C;Görlitz;;;
DE071F;Görlitz;;;
DE072C;Sankt Augustin;;;
DE073C;Neu-Ulm;;;
DE074C;Schweinfurt;;;
DE074F;Schweinfurt;;;
DE075C;Greifswald;;;
DE075F;Greifswald;;;
DE076C;Wetzlar;;;
DE076F;Wetzlar;;;
DE077C;Speyer;;;
DE077F;Speyer;;;
DE078C;Passau;;;
DE078F;Passau;;;
DE079C;Dessau-Roßlau;;;
DE079F;Dessau-Roßlau;;;
DE080C;Duisburg;;;
DE081C;Mannheim;;;
DE081F;Mannheim-Ludwigshafen;;;
DE082C;Gelsenkirchen;;;
DE083C;Münster;;;
DE083F;Münster;;;
DE084C;Chemnitz;;;
DE084F;Chemnitz;;;
DE085C;Braunschweig;;;
DE085F;Braunschweig-Salzgitter;;;
DE086C;Aachen;;;
DE086F;Aachen;;;
DE087C;Krefeld;;;
DE087F;Krefeld;;;
DE088C;Oberhausen;;;
DE089C;Lübeck;;;
DE089F;Lübeck;;;
DE090C;Hagen;;;
DE091C;Kassel;;;
DE091F;Kassel;;;
DE092C;Hamm;;;
DE093C;Herne;;;
DE094C;Solingen;;;
DE094F;Solingen;;;
DE095C;Osnabrück;;;
DE095F;Osnabrück;;;
DE096C;Ludwigshafen am Rhein;;;
DE097C;Leverkusen;;;
DE098C;Oldenburg (Oldenburg);;;
DE098F;Oldenburg (Oldenburg);;;
DE099C;Neuss;;;
DE100C;Heidelberg;;;
DE100F;Heidelberg;;;
DE101C;Paderborn;;;
DE101F;Paderborn;;;
DE102C;Würzburg;;;
DE102F;Würzburg;;;
DE103C;Recklinghausen;;;
DE104C;Wolfsburg;;;
DE104F;Wolfsburg;;;
DE105C;Bremerhaven;;;
DE105F;Bremerhaven;;;
DE106C;Bottrop;;;
DE107C;Heilbronn;;;
DE107F;Heilbronn;;;
DE108C;Remscheid;;;
DE108F;Remscheid;;;
DE109C;Offenbach am Main;;;
DE110C;Ulm;;;
DE110F;Ulm;;;
DE111C;Pforzheim;;;
DE111F;Pforzheim;;;
DE112C;Ingolstadt;;;
DE112F;Ingolstadt;;;
DE113C;Gera;;;
DE113F;Gera;;;
DE114C;Salzgitter;;;
DE115C;Reutlingen;;;
DE115F;Reutlingen;;;
DE116C;Fürth;;;
DE117C;Cottbus;;;
DE117F;Cottbus;;;
DE118C;Siegen;;;
DE118F;Siegen;;;
DE119C;Bergisch Gladbach;;;
DE120C;Hildesheim;;;
DE120F;Hildesheim;;;
DE121C;Witten;;;
DE122C;Zwickau;;;
DE122F;Zwickau;;;
DE123C;Erlangen;;;
DE123F;Erlangen;;;
DE124C;Wuppertal;;;
DE124F;Wuppertal;;;
DE125C;Jena;;;
DE125F;Jena;;;
DE126C;Düren, Stadt;;;
DE126F;Düren, Stadt;;;
DE127C;Bocholt, Stadt;;;
DE127F;Bocholt, Stadt;;;
DK;Danmark;;;
DK001C;København;;;
DK001F;København;;;
DK002C;Århus;;;
DK002F;Århus;;;
DK003C;Odense;;;
DK003F;Odense;;;
DK004C;Aalborg;;;
DK004F;Aalborg;;;
EE;Eesti;;;
EE001C;Tallinn;;;
EE001F;Tallinn;;;
EE002C;Tartu;;;
EE002F;Tartu;;;
EE003C;Narva;;;
EE003F;Narva;;;
EL;Hellas/Greece;;;
EL001C ;Athina;;;
EL001F;Athina;;;
EL002C;Thessaloniki;;;
EL002F;Thessaloniki;;;
EL003C;Pátra;;;
EL003F;Pátra       ;;;
EL004C;Irakleio;;;
EL004F;Irakleio     ;;;
EL005C;Larisa;;;
EL005F;Larisa     ;;;
EL006C;Volos;;;
EL006F;Volos;;;
EL007C;Ioannina;;;
EL007F;Ioannina;;;
EL008C;Kavala;;;
EL008F;Kavala;;;
EL009C;Kalamata;;;
EL009F;Kalamata;;;
EL010C;Trikala;;;
EL010F;Trikala;;;
EL011C;Serres;;;
EL011F;Serres;;;
EL012C;Katerini;;;
EL012F;Katerini;;;
EL013C;Xanthi;;;
EL013F;Xanthi;;;
EL014C;Chania;;;
EL014F;Chania;;;
ES;España;;;
ES001C;Madrid;;;
ES001F;Madrid;;;
ES002C;Barcelona;;;
ES002F;Barcelona;;;
ES003C;Valencia;;;
ES003F;Valencia;;;
ES004C;Sevilla;;;
ES004F;Sevilla;;;
ES005C;Zaragoza;;;
ES005F;Zaragoza;;;
ES006C;Málaga;;;
ES006F;Málaga;;;
ES007C;Murcia;;;
ES007F;Murcia;;;
ES008C;Las Palmas;;;
ES008F;Palmas de Gran Canaria, Las;;;
ES009C;Valladolid;;;
ES009F;Valladolid;;;
ES010C;Palma de Mallorca;;;
ES010F;Palma de Mallorca;;;
ES011C;Santiago de Compostela;;;
ES011F;Santiago de Compostela;;;
ES012C;Vitoria/Gasteiz;;;
ES012F;Vitoria/Gasteiz;;;
ES013C;Oviedo;;;
ES013F;Oviedo;;;
ES014C;Pamplona/Iruña;;;
ES014F;Pamplona/Iruña;;;
ES015C;Santander;;;
ES015F;Santander;;;
ES016C;Toledo;;;
ES016F;Toledo;;;
ES017C;Badajoz;;;
ES017F;Badajoz;;;
ES018C;Logroño;;;
